comparison,metric,left_out_conversation,mean_delta
ZScore_RawERK - ZScore_RawERK,MRR,conv-26,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-30,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-41,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-43,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-44,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-47,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-49,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-50,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-26,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-30,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-41,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-43,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-44,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-47,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-49,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-50,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-26,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-30,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-41,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-43,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-44,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-47,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-49,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-50,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-26,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-30,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-41,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-43,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-44,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-47,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-49,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-50,0.0
