comparison,metric,conversation_id,n,mean_delta
ZScore_RawERK - ZScore_RawERK,MRR,conv-26,152,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-30,81,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-41,152,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-43,178,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-44,123,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-47,150,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-49,156,0.0
ZScore_RawERK - ZScore_RawERK,MRR,conv-50,158,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-26,152,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-30,81,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-41,152,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-43,178,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-44,123,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-47,150,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-49,156,0.0
ZScore_RawERK - ZScore_RawERK,rF1,conv-50,158,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-26,152,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-30,81,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-41,152,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-43,178,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-44,123,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-47,150,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-49,156,0.0
ZScore_RawERK - ZScore_RawERK,rEM,conv-50,158,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-26,152,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-30,81,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-41,152,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-43,178,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-44,123,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-47,150,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-49,156,0.0
ZScore_RawERK - ZScore_RawERK,WrongAbst,conv-50,158,0.0
