experiment,event_count,p50,p95,p99,mean,std,throughput,retry_count,timeout_count,stale_view_count,stale_index_count,failed_count
cassandra_c8_r1,20000,12.1,36.1,56.0,16.8,13.8,58742,0,0,0,0,0
cassandra_c8_r2,20000,14.1,39.0,58.2,19.4,17.0,48171,0,0,0,0,0
cassandra_c8_r3,20000,17.5,46.0,61.7,23.3,23.7,35417,0,0,0,0,0
cassandra_c32_r1,20000,39.4,55.1,319.5,51.5,58.5,25604,0,0,0,0,0
cassandra_c32_r2,20000,40.7,56.0,342.3,53.5,64.4,21314,0,0,0,0,0
cassandra_c32_r3,20000,39.1,57.4,320.0,50.9,60.6,19442,0,0,0,0,0
cassandra_c64_r1,20000,62.1,295.6,358.8,85.7,80.5,25365,0,0,0,0,0
cassandra_c64_r2,20000,63.9,302.1,380.4,88.8,88.4,20746,0,0,0,0,0
cassandra_c64_r3,20000,60.8,313.3,385.1,85.3,87.8,19374,0,0,0,0,0
neo4j_c8_r1,20000,21.1,26.4,29.1,21.6,8.4,59742,0,0,0,0,0
neo4j_c8_r2,20000,22.8,28.7,32.0,23.4,10.2,42819,0,0,0,0,0
neo4j_c8_r3,20000,24.7,31.3,35.9,26.0,21.6,21852,0,0,0,0,0
neo4j_c32_r1,20000,100.2,153.1,333.0,110.5,50.1,35122,0,0,0,0,0
neo4j_c32_r2,20000,100.4,139.8,324.4,109.6,51.9,18391,0,0,0,0,0
neo4j_c32_r3,20000,94.7,144.3,318.2,104.4,52.3,19570,0,0,0,0,0
neo4j_c64_r1,20000,127.2,335.8,427.9,154.3,78.6,31665,0,0,0,0,0
neo4j_c64_r2,20000,176.9,357.9,430.8,180.0,74.5,23354,0,0,0,0,0
neo4j_c64_r3,20000,190.0,410.9,456.8,216.1,88.3,18957,0,0,0,0,0
