ts,elapsed,phase,persisted,committed,checkpoint_seq,event_log_backlog,materialization_backlog,searchability_backlog,oldest_event_age_ms,materializer_status
1784693664.5849879,0.0753483,stable_before_outage,2,0,0,2,0,2,5.5751,running
1784693665.5795126,1.0753507,stable_before_outage,22,21,0,22,21,22,1000.2398,running
1784693666.5792432,2.0753776,stable_before_outage,42,41,25,17,16,17,824.9669,running
1784693667.5800931,3.0759373,stable_before_outage,62,61,60,2,1,2,74.9035,running
1784693668.5856783,4.0814492,stable_before_outage,82,81,80,2,1,2,80.4516,running
1784693669.58093,5.0768127,stable_before_outage,102,101,100,2,1,2,77.1537,running
1784693670.5817387,6.0771894,stable_before_outage,122,121,120,2,1,2,76.4116,running
1784693671.5806003,7.0765314,stable_before_outage,142,141,140,2,1,2,76.7887,running
1784693672.5803385,8.0761128,stable_before_outage,162,161,160,2,1,2,75.9579,running
1784693673.5812125,9.0769515,stable_before_outage,182,181,180,2,1,2,76.3168,running
1784693674.581303,10.0765043,stable_before_outage,202,201,200,2,1,2,76.3367,running
1784693675.580151,11.0759045,stable_before_outage,222,221,220,2,1,2,74.8909,running
1784693676.5805564,12.07609,stable_before_outage,242,241,240,2,1,2,76.5053,running
1784693677.580439,13.0762091,stable_before_outage,262,261,260,2,1,2,75.739,running
1784693678.5800793,14.0759397,stable_before_outage,282,281,280,2,1,2,76.2006,running
1784693679.57955,15.0753432,stable_before_outage,302,301,300,2,1,2,74.703,running
1784693680.5824404,16.0768742,stable_before_outage,322,321,320,2,1,2,78.1692,running
1784693681.5807836,17.0767206,stable_before_outage,342,341,340,2,1,2,76.6324,running
1784693682.5803444,18.0761073,stable_before_outage,362,361,360,2,1,2,76.7179,running
1784693683.582653,19.0769574,stable_before_outage,382,381,380,2,1,2,78.679,running
1784693684.580312,20.0760524,outage,402,401,399,3,2,3,125.657,stopped
1784693685.5815206,21.0772338,outage,422,421,399,23,22,23,1127.0091,stopped
1784693686.5823395,22.0768059,outage,442,441,399,43,42,43,2127.5956,stopped
1784693687.5817053,23.0768754,outage,462,461,399,63,62,63,3126.5778,stopped
1784693688.5804317,24.075683,outage,482,481,399,83,82,83,4125.4849,stopped
1784693689.58013,25.0755345,outage,502,501,399,103,102,103,5125.3513,stopped
1784693690.581632,26.0762502,outage,522,521,399,123,122,123,6126.8747,stopped
1784693691.5799623,27.0758394,outage,542,541,399,143,142,143,7125.646,stopped
1784693692.5799322,28.0757007,outage,562,561,399,163,162,163,8125.1176,stopped
1784693693.581027,29.07627,outage,582,581,399,183,182,183,9126.5931,stopped
1784693694.5960617,30.0011304,recovery_with_input,601,601,399,202,202,202,10140.8427,running
1784693695.5805957,31.0755464,recovery_with_input,622,621,399,223,222,223,11126.0887,running
1784693696.5805073,32.0755982,recovery_with_input,642,641,413,229,228,229,11425.7579,running
1784693697.5813568,33.0765692,recovery_with_input,662,661,463,199,198,199,9926.3411,running
1784693698.5826838,34.0774899,recovery_with_input,682,681,511,171,170,171,8527.2068,running
1784693699.5887737,35.0550186,recovery_with_input,702,700,557,145,143,145,7233.5932,running
1784693700.5819757,36.0765799,recovery_with_input,722,721,606,116,115,116,5777.2153,running
1784693701.5803146,37.0755267,recovery_with_input,742,741,656,86,85,86,4275.3204,running
1784693702.581141,38.075877,recovery_with_input,762,761,706,56,55,56,2776.422,running
1784693703.581691,39.076401,recovery_with_input,782,781,756,26,25,26,1277.4754,running
1784693704.5804174,40.0756187,recovery_with_input,802,801,801,1,0,1,25.6111,running
1784693705.5819368,41.0762247,recovery_with_input,822,821,820,2,1,2,77.6186,running
1784693706.580949,42.0757022,recovery_with_input,842,841,840,2,1,2,76.6269,running
1784693707.581919,43.0758529,recovery_with_input,862,861,860,2,1,2,77.3537,running
1784693708.5818346,44.075842,recovery_with_input,882,881,880,2,1,2,77.4925,running
1784693709.580817,45.0760727,recovery_with_input,902,901,900,2,1,2,77.018,running
1784693710.5801575,46.0753794,recovery_with_input,922,921,920,2,1,2,75.9291,running
1784693711.5811749,47.0763742,recovery_with_input,942,941,941,1,0,1,27.1546,running
1784693712.581925,48.0754074,recovery_with_input,962,961,959,3,2,3,126.4442,running
1784693713.5815077,49.0761745,recovery_with_input,982,981,981,1,0,1,26.6657,running
1784693714.5809615,50.0759501,recovery_with_input,1002,1001,1000,2,1,2,76.9315,running
1784693715.5819962,51.076268,recovery_with_input,1022,1021,1020,2,1,2,77.2317,running
1784693716.5855997,52.07628,recovery_with_input,1042,1041,1040,2,1,2,81.5787,running
1784693717.5836484,53.076433,recovery_with_input,1062,1061,1060,2,1,2,75.2801,running
1784693718.5802968,54.0760316,recovery_with_input,1082,1081,1080,2,1,2,74.5273,running
1784693719.5799837,55.0757207,recovery_with_input,1102,1101,1101,1,0,1,26.4205,running
1784693720.5858455,56.0793175,recovery_with_input,1122,1121,1120,2,1,2,81.1416,running
1784693721.5815892,57.0762837,recovery_with_input,1142,1141,1140,2,1,2,77.2607,running
1784693722.5838835,58.0758323,recovery_with_input,1162,1161,1160,2,1,2,78.3356,running
1784693723.5813594,59.07584,recovery_with_input,1182,1181,1180,2,1,2,76.6284,running
