run_id,scale_label,graph_id,write_graph_id,system,mode,cold_mode,clients,hop,fanout,cycle_policy,write_ratio_target,write_ratio_actual,repeat,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,round_trips_mean,round_trips_p95,raw_rows_mean,raw_rows_p95,read_error_count,write_error_count,error_rate,spotcheck_10_10,spotcheck_passed,spotcheck_checked,write_validation_20_20,write_validation_passed,write_validation_checked,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_warm_r2_formal_20260709_203444,neo4j,warm,warm,32,2,20,path,0.1,0.0997,2,15,45.001,20417,2261,453.704,50.244,69.332,50.579,171.578,491.691,11.351,10.372,19.944,33.298,3.562,5,7.602,35,0,0,0.0,True,10,10,True,20,20,False,0,69.332,,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_warm_r3_formal_20260709_203444,neo4j,warm,warm,32,2,20,path,0.1,0.1013,3,15,45.001,21775,2455,483.879,54.554,64.997,48.465,158.778,452.892,10.746,9.961,17.858,30.54,3.558,5,7.497,35,0,0,0.0,True,10,10,True,20,20,False,0,64.997,,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_warm_r2_formal_20260709_203444,cassandra_opt,warm,warm,32,2,20,path,0.1,0.0982,2,15,45.001,26748,2912,594.392,64.71,50.501,44.944,90.719,112.732,30.849,26.924,66.403,79.761,3.564,5,84.958,437,0,0,0.0,True,10,10,True,20,20,False,0,50.501,16,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_warm_r3_formal_20260709_203444,cassandra_opt,warm,warm,32,2,20,path,0.1,0.0999,3,15,45.002,26984,2994,599.623,66.531,50.086,44.351,93.873,116.673,30.513,26.433,64.603,80.85,3.56,5,84.852,437,0,0,0.0,True,10,10,True,20,20,False,0,50.086,16,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_warm_r1_formal_20260709_203444,neo4j,warm,warm,32,2,20,path,0.1,0.0991,1,15,45.005,22056,2427,490.084,53.928,64.208,47.745,153.117,453.188,10.632,9.88,17.436,31.805,3.55,5,7.462,34,0,0,0.0,True,10,10,True,20,20,False,0,64.208,,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_warm_r5_formal_20260709_203444,cassandra_opt,warm,warm,32,2,20,path,0.1,0.0996,5,15,45.0,27210,3011,604.662,66.911,49.613,43.758,90.908,113.658,30.089,26.28,63.893,76.979,3.562,5,84.861,437,0,0,0.0,True,10,10,True,20,20,False,0,49.613,16,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_warm_r4_formal_20260709_203444,neo4j,warm,warm,32,2,20,path,0.1,0.1019,4,15,45.001,22053,2502,490.053,55.598,64.156,47.685,149.828,459.654,10.688,9.859,18.229,30.477,3.548,5,7.46,34,0,0,0.0,True,10,10,True,20,20,False,0,64.156,,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_warm_r1_formal_20260709_203444,cassandra_opt,warm,warm,32,2,20,path,0.1,0.1009,1,15,45.003,26809,3008,595.72,66.84,50.302,43.743,93.17,121.881,30.665,26.597,64.497,83.374,3.563,5,84.946,437,0,0,0.0,True,10,10,True,20,20,False,0,50.302,16,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_warm_r4_formal_20260709_203444,cassandra_opt,warm,warm,32,2,20,path,0.1,0.1011,4,15,45.001,26934,3030,598.514,67.331,50.021,44.115,92.264,113.814,30.798,26.837,65.289,83.409,3.56,5,84.821,437,0,0,0.0,True,10,10,True,20,20,False,0,50.021,16,False,warm
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_warm_r5_formal_20260709_203444,neo4j,warm,warm,32,2,20,path,0.1,0.1026,5,15,45.0,22119,2528,491.529,56.177,63.95,47.421,154.232,451.14,10.801,9.939,18.193,32.412,3.545,5,7.454,34,0,0,0.0,True,10,10,True,20,20,False,0,63.95,,False,warm
