system,clients,target_write_ratio,actual_write_ratio,repeat,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,total_ops_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,read_error_count,write_error_count,total_error_rate,read_hash_spotcheck_passed,write_validation_passed,logical_writes_validated,physical_writes_per_logical_write,frontier_workers,application_cache,backend_state,write_graph_id
neo4j,32,0,0.0,1,15,45.002,21310,0,473.537,0.0,473.537,67.657,49.655,161.472,496.327,,,,,0,0,0.0,True,,,1,16,disabled,warm,c2_wr0_r1
cassandra_parallel,32,0,0.0,1,15,45.002,31661,0,703.554,0.0,703.554,45.516,40.226,78.811,99.479,,,,,0,0,0.0,True,,,4,16,disabled,warm,c2_wr0_r1
neo4j,32,0,0.0,2,15,45.001,24081,0,535.118,0.0,535.118,59.922,45.631,117.152,420.406,,,,,0,0,0.0,True,,,1,16,disabled,warm,c2_wr0_r2
cassandra_parallel,32,0,0.0,2,15,45.002,31679,0,703.947,0.0,703.947,45.51,40.366,78.691,100.698,,,,,0,0,0.0,True,,,4,16,disabled,warm,c2_wr0_r2
cassandra_parallel,32,0,0.0,3,15,45.001,31955,0,710.096,0.0,710.096,45.138,40.129,77.277,96.68,,,,,0,0,0.0,True,,,4,16,disabled,warm,c2_wr0_r3
neo4j,32,0,0.0,3,15,45.004,23867,0,530.332,0.0,530.332,60.471,45.656,136.098,427.177,,,,,0,0,0.0,True,,,1,16,disabled,warm,c2_wr0_r3
neo4j,32,10,10.0,1,15,45.001,20721,2302,460.452,51.154,511.606,68.369,50.393,167.513,478.253,11.162,10.456,18.891,26.57,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w10_r1
cassandra_parallel,32,10,10.0,1,15,45.002,26440,2937,587.527,65.263,652.791,51.127,45.616,89.001,114.561,30.934,28.111,57.347,76.437,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w10_r1
neo4j,32,10,10.0,2,15,45.001,19624,2171,436.081,48.244,484.325,72.2,53.278,166.699,533.543,11.75,10.75,20.644,30.636,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w10_r2
cassandra_parallel,32,10,10.0,2,15,45.002,26452,2936,587.797,65.242,653.038,51.143,46.039,88.402,112.181,30.182,27.532,53.593,74.229,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w10_r2
cassandra_parallel,32,10,10.0,3,15,45.001,28384,3151,630.749,70.021,700.77,47.625,43.006,81.19,101.656,28.544,25.689,53.947,66.139,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w10_r3
neo4j,32,10,10.0,3,15,45.005,22355,2479,496.725,55.083,551.808,63.363,47.11,155.303,441.608,10.401,9.628,18.25,24.924,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w10_r3
neo4j,32,30,30.0,1,15,45.0,20630,8830,458.441,196.221,654.661,65.327,48.727,151.081,462.914,10.689,9.956,18.425,25.592,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w30_r1
cassandra_parallel,32,30,30.0,1,15,45.002,23972,10280,532.692,228.436,761.128,45.88,40.865,80.423,106.778,33.206,29.917,59.957,79.592,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w30_r1
neo4j,32,30,30.0,2,15,45.012,20446,8759,454.23,194.591,648.821,65.968,49.034,155.057,469.523,10.638,10.003,18.048,25.39,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w30_r2
cassandra_parallel,32,30,30.0,2,15,45.0,24304,10416,540.083,231.464,771.547,45.427,40.635,80.285,103.014,32.392,29.407,58.702,75.128,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w30_r2
neo4j,32,30,30.0,3,15,45.001,20621,8819,458.233,195.973,654.206,65.335,48.361,157.429,454.888,10.707,9.938,18.449,25.967,0,0,0.0,True,True,20/20,1,16,disabled,warm,c2_write_sink_neo4j_w30_r3
cassandra_parallel,32,30,30.0,3,15,45.0,24291,10407,539.794,231.264,771.059,45.316,40.519,80.607,104.69,32.785,29.85,58.322,79.66,0,0,0.0,True,True,20/20,4,16,disabled,warm,c2_write_sink_cassandra_parallel_w30_r3
