system,clients,repeats,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,min_QPS,max_QPS,iqr_QPS,median_error_rate
cassandra_naive,1,3,17.933,55.858,46.37,89.445,324.545,17.733,18.178,0.445,0.0
cassandra_naive,8,3,455.634,17.575,12.656,42.057,109.116,436.773,532.22,95.447,0.0
cassandra_naive,32,3,287.995,111.651,85.178,258.86,690.196,287.981,289.694,1.713,0.0
cassandra_naive,64,3,293.012,220.064,164.649,475.917,1285.26,290.619,303.374,12.755,0.0
cassandra_parallel,1,3,32.578,30.719,30.089,41.817,48.716,31.977,32.933,0.956,0.0
cassandra_parallel,8,3,486.525,16.449,13.233,35.604,49.493,485.309,527.767,42.458,0.0
cassandra_parallel,32,3,261.37,122.661,111.173,225.138,276.928,239.649,640.813,401.164,0.0
cassandra_parallel,64,3,247.202,260.41,238.087,401.36,491.048,245.353,251.685,6.332,0.0
neo4j,1,3,83.088,12.035,8.063,29.4,79.308,81.843,93.332,11.489,0.0
neo4j,8,3,533.728,14.992,11.383,33.033,100.622,528.552,541.33,12.778,0.0
neo4j,32,3,248.688,129.339,93.471,308.528,949.8,199.127,345.29,146.163,0.0
neo4j,64,3,239.572,270.53,209.155,578.789,1806.05,212.772,269.662,56.89,0.0
